"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"CO [l/min]";"CI [l/min/m^2]";"SV [ml]";"SI [ml/m^2]";"SVR [dyn*s/cm^5]";"SVRI [dyn*s*m^2/cm^5]";"PPV [%]";"SVV [%]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"CO cal [l/min]";"Height Offset [cm]";"CVP [mmHg]";
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
0.00;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
18.63;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
28.63;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
39.63;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
46.84;113;91;74;54;;;;;;;;;;;;;;;
47.88;110;88;73;54;;;;;;;;;;;;;;;
48.91;110;87;75;54;;;;;;;;;;;;;;;
49.96;113;89;74;58;;;;;;;;;;;;;;;
51.07;118;93;79;54;;;;;;;;;;;;;;;
52.20;116;92;79;53;;;;;;;;;;;;;;;
53.30;118;93;81;55;;;;;;;;;;;;;;;
54.48;107;97;92;50;;;;;;;;;;;;;;;
61.13;63;63;63;-0;;;;;;;;;;;;;;;
68.63;48;48;48;-0;;;;;;;;;;;;;;;
76.13;102;60;47;-0;;;;;;;;;;;;;;;
77.13;67;57;53;61;;;;;;;;;;;;;;;
78.05;73;58;51;65;;;;;;;;;;;;;;;
79.12;98;68;53;58;;;;;;;;;;;;;;;
80.34;95;77;59;49;;;;;;;;;;;;;;;
81.45;101;80;62;54;;;;;;;;;;;;;;;
82.57;104;86;67;53;;;;;;;;;;;;;;;
83.74;100;86;70;51;;;;;;;;;;;;;;;
84.79;106;89;75;57;;;;;;;;;;;;;;;
85.83;112;92;78;58;;;;;;;;;;;;;;;
86.91;115;95;82;56;;;;;;;;;;;;;;;
87.95;120;95;84;58;;;;;;;;;;;;;;;
88.93;125;97;86;61;;;;;;;;;;;;;;;
89.94;129;99;87;59;;;;;;;;;;;;;;;
90.96;128;99;87;59;;;;;;;;;;;;;;;
91.93;127;99;88;62;;;;;;;;;;;;;;;
92.88;132;101;88;64;;;;;;;;;;;;;;;
93.87;131;101;88;61;;;;;;;;;;;;;;;
94.87;127;100;86;60;;;;;;;;;;;;;;;
95.83;127;99;85;63;;;;;;;;;;;;;;;
96.82;130;99;86;60;;;;;;;;;;;;;;;
97.85;127;97;83;59;;;;;;;;;;;;;;;
98.85;122;95;83;59;;;;;;;;;;;;;;;
99.82;123;94;80;62;;;;;;;;;;;;;;;
100.51;;;;;;;;;;;;;110;69;"internal";;;;
100.85;123;92;77;58;;;;;;;;;;;;;;;
