"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"CO [l/min]";"CI [l/min/m^2]";"SV [ml]";"SI [ml/m^2]";"SVR [dyn*s/cm^5]";"SVRI [dyn*s*m^2/cm^5]";"PPV [%]";"SVV [%]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"CO cal [l/min]";"Height Offset [cm]";"CVP [mmHg]";
134.98;142;114;97;80;;;;;;;16;13;;;;;;;
135.69;138;115;96;87;;;;;;;16;13;;;;;;;
136.38;142;119;99;86;;;;;;;11;13;;;;;;;
137.08;141;120;99;86;;;;;;;11;18;;;;;;;
137.77;144;127;108;86;;;;;;;11;18;;;;;;;
138.47;140;122;105;86;;;;;;;11;18;;;;;;;
139.20;132;114;95;83;;;;;;;11;18;;;;;;;
139.92;130;112;93;83;;;;;;;11;18;;;;;;;
140.61;131;114;96;86;;;;;;;11;18;;;;;;;
141.33;135;118;100;84;;;;;;;11;18;;;;;;;
142.09;130;114;95;79;;;;;;;11;18;;;;;;;
142.87;129;111;91;77;;;;;;;11;18;;;;;;;
143.59;128;112;95;82;;;;;;;11;18;;;;;;;
144.41;130;111;89;76;;;;;;;10;18;;;;;;;
145.20;128;111;91;75;;;;;;;10;19;;;;;;;
146.04;128;109;88;71;;;;;;;10;19;;;;;;;
146.81;126;109;89;77;;;;;;;10;19;;;;;;;
147.65;127;108;86;71;;;;;;;10;19;;;;;;;
148.46;126;108;87;74;;;;;;;10;19;;;;;;;
149.27;127;108;87;74;;;;;;;10;19;;;;;;;
150.08;128;110;89;74;;;;;;;10;19;;;;;;;
150.84;126;110;91;79;;;;;;;10;19;;;;;;;
151.63;126;107;85;76;;;;;;;10;19;;;;;;;
152.45;127;108;86;74;;;;;;;10;19;;;;;;;
153.22;127;110;92;78;;;;;;;10;19;;;;;;;
154.00;127;108;88;76;;;;;;;10;19;;;;;;;
154.81;126;109;88;74;;;;;;;10;19;;;;;;;
155.57;126;109;91;78;;;;;;;10;19;;;;;;;
156.38;129;108;87;75;;;;;;;12;19;;;;;;;
157.21;126;109;88;73;;;;;;;12;17;;;;;;;
157.99;125;109;89;75;;;;;;;12;17;;;;;;;
158.82;125;107;86;73;;;;;;;12;17;;;;;;;
159.60;125;108;87;77;;;;;;;12;17;;;;;;;
160.42;128;108;85;73;;;;;;;12;17;;;;;;;
161.23;128;111;94;74;;;;;;;12;17;;;;;;;
162.05;129;109;86;73;;;;;;;13;17;;;;;;;
