経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
42.620, 3.8743, 86.1317, 5.0143, 1.1649, 3.8743, 86.1317, 5.0143, 0.9188, 0.3948, 123.95, 85.25, 0.9188, 0.3948, 1.5296, 3.5595, 0.8171, 654.0000, 696.6080, 1, 20, 0.6302, 9.3662, 8.7361, 2.8588, 0.3884, 0.6116, 123.95, 85.25, 123.95, 85.25, 0, 0, 0, 1, ok, ok, 98.1504, 38.6946, 98.1524, 37.1954, 98.1524, 37.1954, 122.95, 85.75, 122.95, 85.75, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
43.396, 3.8430, 84.9493, 5.2387, 1.3060, 3.8430, 84.9493, 5.2387, 0.9651, 0.2617, 122.85, 85.81, 0.9651, 0.2617, 1.0059, 3.7090, 0.8908, 707.0000, 706.3040, 1, 21, 0.5198, 9.4716, 8.9518, 2.8597, 0.3777, 0.6223, 122.85, 85.81, 122.85, 85.81, 0, 0, 0, 1, ok, ok, 98.1542, 37.0376, 98.1530, 37.1165, 98.1530, 37.1165, 122.90, 85.78, 122.90, 85.78, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
44.160, 3.8509, 81.5603, 5.8658, 1.2547, 3.8509, 81.5603, 5.8658, 0.9505, 0.3108, 122.81, 85.82, 0.9505, 0.3108, 1.1969, 3.6602, 0.9607, 717.0000, 735.6520, 1, 22, 0.6458, 9.5732, 8.9274, 2.8875, 0.4017, 0.5983, 122.81, 85.82, 122.81, 85.82, 0, 0, 0, 1, ok, ok, 98.1497, 36.9906, 98.1520, 37.0536, 98.1520, 37.0536, 122.85, 85.80, 122.85, 85.80, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
45.673, 4.1965, 79.6997, 4.4304, 1.1680, 4.1965, 79.6997, 4.4304, 0.9200, 0.3920, 122.32, 86.07, 0.9200, 0.3920, 1.6451, 3.8606, 0.8516, 774.0000, 752.8260, 1, 23, 0.4125, 9.5141, 9.1017, 3.0872, 0.3527, 0.6473, 122.32, 86.07, 122.32, 86.07, 0, 0, 0, 1, ok, ok, 98.1557, 36.2510, 98.1531, 36.6523, 98.1531, 36.6523, 122.59, 85.94, 122.59, 85.94, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
46.389, 4.0989, 80.5463, 5.0485, 1.0950, 4.0989, 80.5463, 5.0485, 0.8889, 0.4580, 123.40, 85.52, 0.8889, 0.4580, 1.8774, 3.6437, 0.8334, 760.0000, 744.9130, 1, 23, 0.4789, 9.4496, 8.9706, 3.0158, 0.3421, 0.6579, 123.40, 85.52, 123.40, 85.52, 0, 0, 0, 1, ok, ok, 98.1484, 37.8741, 98.1517, 37.2632, 98.1517, 37.2632, 122.99, 85.73, 122.99, 85.73, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
47.201, 4.1576, 81.0858, 4.6334, 1.3263, 4.1576, 81.0858, 4.6334, 0.9703, 0.2421, 121.44, 86.52, 0.9703, 0.2421, 1.0066, 4.0339, 0.8421, 725.0000, 739.9565, 1, 22, 0.4250, 9.4766, 9.0516, 3.0581, 0.3517, 0.6483, 121.44, 86.52, 121.44, 86.52, 0, 0, 0, 1, ok, ok, 98.1588, 34.9258, 98.1538, 36.0945, 98.1538, 36.0945, 122.22, 86.12, 122.22, 86.12, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
47.963, 2.7515, 0.0000, 6.6877, 0.8418, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 121.44, 86.52, 0.7459, 0.6661, 1.8328, 2.0522, 1.3996, 756.0000, 0.0000, 0, 23, 0.7390, 9.5506, 8.8116, 2.3967, 0.3373, 0.6627, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
48.740, 4.3047, 78.1770, 3.8732, 1.5153, 4.3047, 78.1770, 3.8732, 0.9985, 0.0555, 119.98, 87.26, 0.9985, 0.0555, 0.2389, 4.2980, 0.9889, 820.0000, 767.4891, 1, 24, 0.3089, 9.5099, 9.2010, 3.2005, 0.3841, 0.6159, 119.98, 87.26, 119.98, 87.26, 0, 0, 0, 1, ok, ok, 98.1680, 32.7180, 98.1581, 34.4063, 98.1581, 34.4063, 121.10, 86.69, 121.10, 86.69, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
49.443, 4.0682, 78.2019, 5.0186, 1.0194, 4.0682, 78.2019, 5.0186, 0.8518, 0.5238, 124.03, 85.21, 0.8518, 0.5238, 2.1311, 3.4653, 0.9883, 758.0000, 767.2446, 1, 23, 0.4688, 9.4828, 9.0140, 3.0417, 0.3391, 0.6609, 124.03, 85.21, 124.03, 85.21, 0, 0, 0, 1, ok, ok, 98.1465, 38.8208, 98.1546, 36.6135, 98.1546, 36.6135, 122.56, 85.95, 122.56, 85.95, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
50.174, 3.9955, 82.1218, 3.9923, 1.3823, 3.9955, 82.1218, 3.9923, 0.9823, 0.1874, 121.65, 86.42, 0.9823, 0.1874, 0.7487, 3.9248, 0.9433, 759.0000, 730.6223, 1, 22, 0.4054, 9.1894, 8.7840, 2.9786, 0.3742, 0.6258, 121.65, 86.42, 121.65, 86.42, 0, 0, 0, 1, ok, ok, 98.1656, 35.2330, 98.1579, 35.9233, 98.1579, 35.9233, 122.11, 86.18, 122.11, 86.18, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
