経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, SBP_process, DBP_process, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
112.789, 4.4769, 85.7648, 5.4419, 1.8013, 4.4769, 85.7648, 5.4419, 0.9735, -0.2285, 117.51, 88.46, 117.51, 88.46, 0.9735, -0.2285, -1.0230, 4.3585, 0.3982, 693.0000, 699.5878, 1, 20, 0.4816, 9.6467, 9.1650, 3.1906, 0.5180, 0.4820, 117.51, 88.46, 117.51, 88.46, 0, 0, 0, 1, ok, ok, 98.1421, 29.0528, 98.1399, 28.5271, 98.1399, 28.5271, 117.16, 88.63, 117.16, 88.63, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
113.425, 3.3362, 91.4922, 6.9572, 1.7474, 3.3362, 91.4922, 6.9572, 0.9844, -0.1757, 115.27, 89.56, 115.27, 89.56, 0.9844, -0.1757, -0.5861, 3.2843, 0.7961, 723.0000, 655.7939, 1, 22, 1.6280, 9.7492, 8.1212, 2.4898, 0.4813, 0.5187, 115.27, 89.56, 115.27, 89.56, 0, 0, 0, 1, ok, ok, 98.1301, 25.7040, 98.1370, 27.1155, 98.1370, 27.1155, 116.21, 89.10, 116.21, 89.10, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
114.092, 3.2385, 92.7505, 6.8293, 1.6721, 3.2385, 92.7505, 6.8293, 0.9949, -0.1011, 114.21, 90.08, 114.21, 90.08, 0.9949, -0.1011, -0.3275, 3.2219, 0.6016, 614.0000, 646.8969, 1, 18, 2.2369, 9.6931, 7.4562, 2.3677, 0.5195, 0.4805, 114.21, 90.08, 114.21, 90.08, 0, 0, 0, 1, ok, ok, 98.1228, 24.1375, 98.1327, 25.6265, 98.1327, 25.6265, 115.22, 89.59, 115.22, 89.59, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
114.731, 4.3923, 90.7786, 5.9654, 1.3873, 4.3923, 90.7786, 5.9654, 0.9832, 0.1825, 114.58, 89.88, 114.58, 89.88, 0.9832, 0.1825, 0.8015, 4.3185, 0.6491, 636.0000, 660.9485, 1, 19, 0.5009, 9.7564, 9.2555, 3.1729, 0.4827, 0.5173, 114.58, 89.88, 114.58, 89.88, 0, 0, 0, 1, ok, ok, 98.1149, 24.7000, 98.1274, 25.1633, 98.1274, 25.1633, 114.90, 89.74, 114.90, 89.74, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
115.476, 4.6299, 91.5368, 5.7008, 1.5211, 4.6299, 91.5368, 5.7008, 0.9988, 0.0497, 114.99, 89.68, 114.99, 89.68, 0.9988, 0.0497, 0.2300, 4.6242, 0.4609, 674.0000, 655.4742, 1, 21, 0.3848, 9.8367, 9.4519, 3.3061, 0.4570, 0.5430, 114.99, 89.68, 114.99, 89.68, 0, 0, 0, 1, ok, ok, 98.1186, 25.3126, 98.1247, 25.2379, 98.1247, 25.2379, 114.95, 89.71, 114.95, 89.71, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
116.165, 4.4900, 87.2426, 5.4559, 1.6727, 4.4900, 87.2426, 5.4559, 0.9948, -0.1017, 116.45, 88.97, 116.45, 88.97, 0.9948, -0.1017, -0.4566, 4.4667, 0.4910, 651.0000, 687.7371, 1, 19, 0.4963, 9.7567, 9.2604, 3.2126, 0.4885, 0.5115, 116.45, 88.97, 116.45, 88.97, 0, 0, 0, 1, ok, ok, 98.1325, 27.4729, 98.1271, 26.3554, 98.1271, 26.3554, 115.70, 89.34, 115.70, 89.34, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
116.805, 4.3751, 86.0995, 5.9291, 1.6668, 4.3751, 86.0995, 5.9291, 0.9954, -0.0959, 117.07, 88.67, 117.07, 88.67, 0.9954, -0.0959, -0.4195, 4.3550, 0.6510, 717.0000, 696.8686, 1, 21, 0.5571, 9.7526, 9.1954, 3.1614, 0.4895, 0.5105, 117.07, 88.67, 117.07, 88.67, 0, 0, 0, 1, ok, ok, 98.1360, 28.4005, 98.1298, 27.3780, 98.1298, 27.3780, 116.38, 89.00, 116.38, 89.00, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
117.603, 4.0961, 88.9634, 6.5307, 1.6432, 4.0961, 88.9634, 6.5307, 0.9974, -0.0724, 116.30, 89.05, 116.30, 89.05, 0.9974, -0.0724, -0.2964, 4.0853, 0.9027, 709.0000, 674.4343, 1, 22, 0.5143, 9.9275, 9.4133, 3.0338, 0.5021, 0.4979, 116.30, 89.05, 116.30, 89.05, 0, 0, 0, 1, ok, ok, 98.1308, 27.2488, 98.1301, 27.3134, 98.1301, 27.3134, 116.34, 89.03, 116.34, 89.03, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
118.300, 3.6044, 83.0775, 6.7818, 1.5346, 3.6044, 83.0775, 6.7818, 0.9993, 0.0362, 116.97, 88.72, 116.97, 88.72, 0.9993, 0.0362, 0.1304, 3.6021, 0.7401, 638.0000, 722.2171, 1, 19, 1.3323, 9.8639, 8.5316, 2.6540, 0.4890, 0.5110, 116.97, 88.72, 116.97, 88.72, 0, 0, 0, 1, ok, ok, 98.1362, 28.2513, 98.1319, 27.7823, 98.1319, 27.7823, 116.65, 88.87, 116.65, 88.87, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
118.993, 4.2876, 83.8447, 5.3835, 1.3846, 4.2876, 83.8447, 5.3835, 0.9827, 0.1852, 115.80, 89.29, 115.80, 89.29, 0.9827, 0.1852, 0.7939, 4.2135, 0.5357, 785.0000, 715.6086, 1, 23, 0.4574, 9.7999, 9.3425, 3.0788, 0.5019, 0.4981, 115.80, 89.29, 115.80, 89.29, 0, 0, 0, 1, ok, ok, 98.1253, 26.5117, 98.1299, 27.1470, 98.1299, 27.1470, 116.23, 89.08, 116.23, 89.08, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
119.703, 4.1146, 85.3116, 4.1350, 1.9935, 4.1146, 85.3116, 4.1350, 0.9120, -0.4103, 116.74, 88.85, 116.74, 88.85, 0.9120, -0.4103, -1.6881, 3.7524, 0.6948, 711.0000, 703.3043, 1, 22, 0.2970, 9.5564, 9.2594, 2.9913, 0.4866, 0.5134, 116.74, 88.85, 116.74, 88.85, 0, 0, 0, 1, ok, ok, 98.1473, 27.8830, 98.1351, 27.5150, 98.1351, 27.5150, 116.48, 88.96, 116.48, 88.96, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
120.378, 4.5112, 84.2517, 5.2622, 1.5273, 4.5112, 84.2517, 5.2622, 0.9991, 0.0434, 116.48, 88.96, 116.48, 88.96, 0.9991, 0.0434, 0.1960, 4.5070, 0.4356, 698.0000, 712.1521, 1, 21, 0.5372, 9.7115, 9.1743, 3.2195, 0.4756, 0.5244, 116.48, 88.96, 116.48, 88.96, 0, 0, 0, 1, ok, ok, 98.1306, 27.5256, 98.1338, 27.5203, 98.1338, 27.5203, 116.48, 88.96, 116.48, 88.96, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
121.075, 4.5589, 87.2631, 5.8598, 1.5359, 4.5589, 87.2631, 5.8598, 0.9994, 0.0349, 116.36, 89.01, 116.36, 89.01, 0.9994, 0.0349, 0.1589, 4.5562, 0.5840, 712.0000, 687.5761, 1, 22, 0.5596, 9.8239, 9.2642, 3.2761, 0.4466, 0.5534, 116.36, 89.01, 116.36, 89.01, 0, 0, 0, 1, ok, ok, 98.1279, 27.3467, 98.1320, 27.4335, 98.1320, 27.4335, 116.42, 88.99, 116.42, 88.99, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
121.747, 3.9660, 85.8629, 6.0941, 1.3981, 3.9660, 85.8629, 6.0941, 0.9851, 0.1718, 115.48, 89.44, 115.48, 89.44, 0.9851, 0.1718, 0.6814, 3.9071, 0.6831, 660.0000, 698.7880, 1, 19, 0.8902, 9.7095, 8.8193, 2.8864, 0.4303, 0.5697, 115.48, 89.44, 115.48, 89.44, 0, 0, 0, 1, ok, ok, 98.1237, 26.0388, 98.1295, 26.7361, 98.1295, 26.7361, 115.95, 89.22, 115.95, 89.22, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
122.512, 4.4396, 88.4442, 5.8855, 1.5354, 4.4396, 88.4442, 5.8855, 0.9994, 0.0354, 115.84, 89.27, 115.84, 89.27, 0.9994, 0.0354, 0.1571, 4.4369, 0.6537, 713.0000, 678.3940, 1, 22, 0.5836, 9.7366, 9.1530, 3.2066, 0.4292, 0.5708, 115.84, 89.27, 115.84, 89.27, 0, 0, 0, 1, ok, ok, 98.1253, 26.5708, 98.1282, 26.6535, 98.1282, 26.6535, 115.90, 89.24, 115.90, 89.24, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
123.282, 4.4223, 82.2823, 5.5903, 1.3489, 4.4223, 82.2823, 5.5903, 0.9755, 0.2201, 116.58, 88.90, 116.58, 88.90, 0.9755, 0.2201, 0.9732, 4.3139, 0.5766, 652.0000, 729.1970, 1, 19, 0.5903, 9.6855, 9.0952, 3.1798, 0.4233, 0.5767, 116.58, 88.90, 116.58, 88.90, 0, 0, 0, 1, ok, ok, 98.1285, 27.6810, 98.1283, 27.1672, 98.1283, 27.1672, 116.24, 89.07, 116.24, 89.07, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
124.011, 4.7823, 80.4183, 5.3576, 1.5815, 4.7823, 80.4183, 5.3576, 0.9996, -0.0107, 118.40, 88.01, 118.40, 88.01, 0.9999, -0.0107, -0.0511, 4.7820, 0.5003, 785.0000, 746.0985, 1, 24, 0.4879, 9.8505, 9.3626, 3.4184, 0.4357, 0.5643, 118.40, 88.01, 118.40, 88.01, 0, 0, 1, 1, sinPhi:0.9999->0.9996, ok, 98.1420, 30.3844, 98.1324, 28.7758, 98.1324, 28.7758, 117.32, 88.54, 117.32, 88.54, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
125.052, 4.2924, 82.2990, 6.3963, 1.5033, 4.2924, 82.2990, 6.3963, 0.9977, 0.0674, 117.80, 88.30, 117.80, 88.30, 0.9977, 0.0674, 0.2893, 4.2827, 0.9758, 759.0000, 729.0493, 1, 23, 0.4955, 9.8201, 9.3245, 3.1882, 0.4756, 0.5244, 117.80, 88.30, 117.80, 88.30, 0, 0, 0, 1, ok, ok, 98.1374, 29.4995, 98.1339, 29.1377, 98.1339, 29.1377, 117.56, 88.42, 117.56, 88.42, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
