経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, A_used, HR_used, V2P_relTTP_used, P2V_relTTP_used, SBP, DBP, SBP_process, DBP_process, IBI_input_ms, IBI_smoothed_ms, used_smoothed_ibi, SBP_raw, DBP_raw, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
13.900, 9.0973, 74.1435, -0.6447, -0.3211, 9.0973, 74.1435, -0.6447, -0.3211, 116.93, 88.74, 116.93, 88.74, 818.0000, 809.2411, 1, 116.93, 88.74, 0, 0, 1, ok, ok, 98.1397, 28.1923, 98.1374, 27.8135, 98.1374, 27.8135, 116.68, 88.87, 116.68, 88.87, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
14.701, 9.2167, 73.7444, -0.6455, -0.3227, 9.2167, 73.7444, -0.6455, -0.3227, 117.08, 88.67, 117.08, 88.67, 810.0000, 813.6206, 1, 117.08, 88.67, 0, 0, 1, ok, ok, 98.1409, 28.4107, 98.1385, 28.1121, 98.1385, 28.1121, 116.88, 88.77, 116.88, 88.77, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
15.505, 9.1759, 73.9089, -0.6519, -0.3259, 9.1759, 73.9089, -0.6519, -0.3259, 117.09, 88.67, 117.09, 88.67, 774.0000, 811.8103, 1, 117.09, 88.67, 0, 0, 1, ok, ok, 98.1409, 28.4206, 98.1392, 28.2664, 98.1392, 28.2664, 116.98, 88.72, 116.98, 88.72, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
16.308, 9.4271, 75.6711, -0.5969, -0.3411, 9.4271, 75.6711, -0.5969, -0.3411, 116.51, 88.95, 116.51, 88.95, 808.0000, 792.9051, 1, 116.51, 88.95, 0, 0, 1, ok, ok, 98.1381, 27.5594, 98.1389, 27.9129, 98.1389, 27.9129, 116.75, 88.83, 116.75, 88.83, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
17.073, 9.2305, 74.9576, -0.6126, -0.4084, 9.2305, 74.9576, -0.6126, -0.4084, 117.70, 88.37, 117.70, 88.37, 787.0000, 800.4526, 1, 117.70, 88.37, 0, 0, 1, ok, ok, 98.1451, 29.3361, 98.1407, 28.6245, 98.1407, 28.6245, 117.22, 88.60, 117.22, 88.60, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
17.840, 9.0826, 75.5928, -0.6290, -0.3355, 9.0826, 75.5928, -0.6290, -0.3355, 116.59, 88.91, 116.59, 88.91, 753.0000, 793.7263, 1, 116.59, 88.91, 0, 0, 1, ok, ok, 98.1377, 27.6726, 98.1398, 28.1486, 98.1398, 28.1486, 116.91, 88.76, 116.91, 88.76, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
18.573, 8.9447, 77.5832, -0.6135, -0.3506, 8.9447, 77.5832, -0.6135, -0.3506, 116.08, 89.16, 116.08, 89.16, 745.0000, 773.3631, 1, 116.08, 89.16, 0, 0, 1, ok, ok, 98.1344, 26.9142, 98.1382, 27.5314, 98.1382, 27.5314, 116.49, 88.96, 116.49, 88.96, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
19.308, 9.1199, 79.0325, -0.5758, -0.3544, 9.1199, 79.0325, -0.5758, -0.3544, 115.51, 89.44, 115.51, 89.44, 719.0000, 759.1816, 1, 115.51, 89.44, 0, 0, 1, ok, ok, 98.1315, 26.0701, 98.1362, 26.8007, 98.1362, 26.8007, 116.00, 89.20, 116.00, 89.20, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
20.003, 8.9411, 81.1808, -0.5967, -0.4131, 8.9411, 81.1808, -0.5967, -0.4131, 115.62, 89.39, 115.62, 89.39, 697.0000, 739.0908, 1, 115.62, 89.39, 0, 0, 1, ok, ok, 98.1321, 26.2306, 98.1349, 26.5157, 98.1349, 26.5157, 115.81, 89.30, 115.81, 89.30, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
20.710, 9.0620, 83.5602, -0.6155, -0.4261, 9.0620, 83.5602, -0.6155, -0.4261, 115.01, 89.69, 115.01, 89.69, 722.0000, 718.0454, 1, 115.01, 89.69, 0, 0, 1, ok, ok, 98.1290, 25.3204, 98.1332, 25.9181, 98.1332, 25.9181, 115.41, 89.49, 115.41, 89.49, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
22.220, 9.2220, 83.3307, -0.6856, -0.3643, 9.2220, 83.3307, -0.6856, -0.3643, 114.44, 89.97, 114.44, 89.97, 792.0000, 720.0227, 1, 114.44, 89.97, 0, 0, 1, ok, ok, 98.1258, 24.4725, 98.1310, 25.1953, 98.1310, 25.1953, 114.93, 89.73, 114.93, 89.73, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
22.981, 7.3010, 79.3639, -0.6250, -0.3333, 7.3010, 79.3639, -0.6250, -0.3333, 115.45, 89.46, 115.45, 89.46, 741.0000, 756.0113, 1, 115.45, 89.46, 0, 0, 1, ok, ok, 98.1263, 25.9910, 98.1296, 25.5932, 98.1296, 25.5932, 115.19, 89.60, 115.19, 89.60, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
23.754, 9.1028, 80.1597, -0.6680, -0.3563, 9.1028, 80.1597, -0.6680, -0.3563, 115.39, 89.50, 115.39, 89.50, 765.0000, 748.5057, 1, 115.39, 89.50, 0, 0, 1, ok, ok, 98.1310, 25.8910, 98.1300, 25.7421, 98.1300, 25.7421, 115.29, 89.55, 115.29, 89.55, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
24.520, 9.0373, 79.2861, -0.6471, -0.3451, 9.0373, 79.2861, -0.6471, -0.3451, 115.50, 89.45, 115.50, 89.45, 792.0000, 756.7528, 1, 115.50, 89.45, 0, 0, 1, ok, ok, 98.1313, 26.0494, 98.1304, 25.8957, 98.1304, 25.8957, 115.39, 89.50, 115.39, 89.50, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
25.323, 9.1612, 77.4817, -0.6667, -0.3333, 9.1612, 77.4817, -0.6667, -0.3333, 116.00, 89.20, 116.00, 89.20, 790.0000, 774.3764, 1, 116.00, 89.20, 0, 0, 1, ok, ok, 98.1345, 26.7973, 98.1316, 26.3465, 98.1316, 26.3465, 115.70, 89.35, 115.70, 89.35, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
26.090, 9.0369, 76.7079, -0.6266, -0.3329, 9.0369, 76.7079, -0.6266, -0.3329, 116.17, 89.12, 116.17, 89.12, 768.0000, 782.1882, 1, 116.17, 89.12, 0, 0, 1, ok, ok, 98.1351, 27.0509, 98.1327, 26.6987, 98.1327, 26.6987, 115.93, 89.23, 115.93, 89.23, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
26.795, 9.0543, 77.4100, -0.6016, -0.3438, 9.0543, 77.4100, -0.6016, -0.3438, 116.00, 89.20, 116.00, 89.20, 713.0000, 775.0941, 1, 116.00, 89.20, 0, 0, 1, ok, ok, 98.1342, 26.8037, 98.1331, 26.7512, 98.1331, 26.7512, 115.97, 89.22, 115.97, 89.22, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
27.530, 9.0543, 80.6401, -0.6480, -0.3240, 9.0543, 80.6401, -0.6480, -0.3240, 114.76, 89.81, 114.76, 89.81, 726.0000, 744.0471, 1, 114.76, 89.81, 0, 0, 1, ok, ok, 98.1268, 24.9442, 98.1312, 25.8477, 98.1312, 25.8477, 115.36, 89.52, 115.36, 89.52, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
