経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, SBP_process, DBP_process, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
7.588, 4.4663, 79.2889, 4.9563, 1.3848, 4.4663, 79.2889, 4.9563, 0.9827, 0.1850, 116.97, 88.71, 116.97, 88.71, 0.9827, 0.1850, 0.8260, 4.3892, 0.7506, 794.0000, 756.7262, 1, 24, 0.3964, 9.7153, 9.3189, 3.2461, 0.3665, 0.6335, 116.97, 88.71, 116.97, 88.71, 0, 0, 0, 1, ok, ok, 98.1330, 28.2601, 98.1324, 28.1042, 98.1324, 28.1042, 116.87, 88.76, 116.87, 88.76, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
8.318, 3.3712, 0.0000, 6.6921, 1.1384, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.97, 88.71, 116.97, 88.71, 0.9079, 0.4191, 1.4128, 3.0608, 1.0454, 737.0000, 0.0000, 0, 22, 0.7762, 9.6789, 8.9026, 2.6029, 0.4016, 0.5984, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
9.085, 3.7214, 0.0000, 6.4676, 1.0073, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.97, 88.71, 116.97, 88.71, 0.8454, 0.5342, 1.9878, 3.1460, 1.2182, 776.0000, 0.0000, 0, 23, 0.5997, 9.7230, 9.1233, 2.8997, 0.3956, 0.6044, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
9.889, 4.2049, 0.0000, 6.1493, 1.0627, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.97, 88.71, 116.97, 88.71, 0.8737, 0.4866, 2.0459, 3.6736, 1.0395, 758.0000, 0.0000, 0, 23, 0.5261, 9.7435, 9.2175, 3.1498, 0.3786, 0.6214, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
10.654, 4.4519, 76.0593, 5.1766, 1.0702, 4.4519, 76.0593, 5.1766, 0.8773, 0.4799, 117.31, 88.54, 117.31, 88.54, 0.8773, 0.4799, 2.1365, 3.9057, 0.6823, 750.0000, 788.8579, 1, 22, 0.4614, 9.5950, 9.1335, 3.2210, 0.3773, 0.6227, 117.31, 88.54, 117.31, 88.54, 0, 0, 0, 1, ok, ok, 98.1315, 28.7671, 98.1321, 28.4357, 98.1321, 28.4357, 117.09, 88.65, 117.09, 88.65, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
11.462, 4.3561, 78.0306, 5.5319, 1.4305, 4.3561, 78.0306, 5.5319, 0.9902, 0.1399, 117.94, 88.24, 117.94, 88.24, 0.9902, 0.1399, 0.6093, 4.3133, 0.8543, 818.0000, 768.9289, 1, 25, 0.4821, 9.8757, 9.3936, 3.1965, 0.3863, 0.6137, 117.94, 88.24, 117.94, 88.24, 0, 0, 0, 1, ok, ok, 98.1392, 29.7038, 98.1342, 29.0697, 98.1342, 29.0697, 117.51, 88.44, 117.51, 88.44, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
12.254, 4.6389, 75.6654, 6.1411, 0.8621, 4.6389, 75.6654, 6.1411, 0.7592, 0.6508, 118.57, 87.92, 118.57, 87.92, 0.7592, 0.6508, 3.0191, 3.5220, 0.8343, 756.0000, 792.9645, 1, 22, 0.5369, 9.8377, 9.3008, 3.3846, 0.3796, 0.6204, 118.57, 87.92, 118.57, 87.92, 0, 0, 0, 1, ok, ok, 98.1350, 30.6498, 98.1345, 29.8598, 98.1345, 29.8598, 118.04, 88.18, 118.04, 88.18, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
13.088, 4.3250, 75.0486, 5.1066, 1.1712, 4.3250, 75.0486, 5.1066, 0.9212, 0.3890, 117.52, 88.44, 117.52, 88.44, 0.9212, 0.3890, 1.6825, 3.9843, 0.8637, 813.0000, 799.4822, 1, 25, 0.4358, 9.5414, 9.1056, 3.1779, 0.3432, 0.6568, 117.52, 88.44, 117.52, 88.44, 0, 0, 0, 1, ok, ok, 98.1348, 29.0727, 98.1346, 29.4663, 98.1346, 29.4663, 117.78, 88.31, 117.78, 88.31, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
13.900, 4.1679, 74.1435, 4.2560, 1.3456, 4.1679, 74.1435, 4.2560, 0.9748, 0.2233, 117.09, 88.66, 117.09, 88.66, 0.9748, 0.2233, 0.9305, 4.0627, 0.9122, 807.0000, 809.2411, 1, 24, 0.3541, 9.5535, 9.1995, 3.0851, 0.3395, 0.6605, 117.09, 88.66, 117.09, 88.66, 0, 0, 0, 1, ok, ok, 98.1373, 28.4327, 98.1354, 28.9495, 98.1354, 28.9495, 117.44, 88.49, 117.44, 88.49, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
14.701, 4.4263, 73.7444, 4.5004, 1.2947, 4.4263, 73.7444, 4.5004, 0.9621, 0.2726, 117.74, 88.34, 117.74, 88.34, 0.9621, 0.2726, 1.2066, 4.2587, 0.7632, 822.0000, 813.6206, 1, 25, 0.2951, 9.5194, 9.2243, 3.2216, 0.3394, 0.6606, 117.74, 88.34, 117.74, 88.34, 0, 0, 0, 1, ok, ok, 98.1385, 29.4076, 98.1363, 29.1786, 98.1363, 29.1786, 117.59, 88.41, 117.59, 88.41, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
