"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"CO [l/min]";"CI [l/min/m^2]";"SV [ml]";"SI [ml/m^2]";"SVR [dyn*s/cm^5]";"SVRI [dyn*s*m^2/cm^5]";"PPV [%]";"SVV [%]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"CO cal [l/min]";"Height Offset [cm]";"CVP [mmHg]";
17.86;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
27.86;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
38.86;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
44.22;117;88;71;86;;;;;;;;;;;;;;;
45.15;120;87;67;86;;;;;;;;;;;;;;;
45.85;122;88;69;86;;;;;;;;;;;;;;;
46.57;122;87;66;83;;;;;;;;;;;;;;;
47.23;122;91;72;90;;;;;;;;;;;;;;;
47.94;124;90;70;84;;;;;;;;;;;;;;;
48.67;123;90;70;82;;;;;;;;;;;;;;;
49.43;122;85;63;80;;;;;;;;;;;;;;;
50.14;119;83;64;84;;;;;;;;;;;;;;;
50.81;122;85;68;87;;;;;;;;;;;;;;;
51.53;125;86;63;86;;;;;;;;;;;;;;;
52.21;124;88;70;87;;;;;;;;;;;;;;;
53.03;127;87;61;74;;;;;;;;;;;;;;;
53.87;125;88;69;71;;;;;;;;;;;;;;;
54.68;125;86;62;75;;;;;;;;;;;;;;;
55.39;123;87;69;82;;;;;;;;;;;;;;;
56.21;123;84;70;74;;;;;;;;;;;;;;;
56.98;97;86;80;75;;;;;;;;;;;;;;;
63.86;39;39;39;-0;;;;;;;;;;;;;;;
71.36;58;58;58;-0;;;;;;;;;;;;;;;
74.01;89;49;36;-0;;;;;;;;;;;;;;;
74.79;71;66;62;78;;;;;;;;;;;;;;;
75.53;74;68;64;82;;;;;;;;;;;;;;;
76.28;85;73;66;84;;;;;;;;;;;;;;;
77.07;96;76;64;78;;;;;;;;;;;;;;;
77.80;123;87;67;78;;;;;;;;;;;;;;;
78.59;126;91;73;73;;;;;;;;;;;;;;;
79.44;140;92;72;72;;;;;;;;;;;;;;;
80.23;140;93;76;77;;;;;;;;;;;;;;;
