"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"CO [l/min]";"CI [l/min/m^2]";"SV [ml]";"SI [ml/m^2]";"SVR [dyn*s/cm^5]";"SVRI [dyn*s*m^2/cm^5]";"PPV [%]";"SVV [%]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"CO cal [l/min]";"Height Offset [cm]";"CVP [mmHg]";
142.45;150;119;92;74;;;;;;;13;20;;;;;;;
143.18;147;120;95;81;;;;;;;13;20;;;;;;;
143.93;153;122;95;81;;;;;;;8;20;;;;;;;
144.71;155;124;96;77;;;;;;;8;20;;;;;;;
145.50;155;125;97;76;;;;;;;8;20;;;;;;;
146.32;156;124;95;73;;;;;;;8;20;;;;;;;
147.13;155;126;99;74;;;;;;;8;20;;;;;;;
147.93;160;130;103;75;;;;;;;8;20;;;;;;;
148.76;159;130;103;72;;;;;;;8;20;;;;;;;
149.60;155;126;97;71;;;;;;;8;20;;;;;;;
150.39;154;126;99;76;;;;;;;8;20;;;;;;;
151.20;156;125;99;73;;;;;;;8;20;;;;;;;
152.02;154;124;98;74;;;;;;;8;20;;;;;;;
152.82;151;123;98;74;;;;;;;8;20;;;;;;;
153.60;151;120;92;78;;;;;;;4;20;;;;;;;
154.35;148;120;97;80;;;;;;;4;12;;;;;;;
155.09;144;115;90;81;;;;;;;4;12;;;;;;;
155.80;143;111;87;83;;;;;;;4;12;;;;;;;
156.48;145;116;91;88;;;;;;;4;12;;;;;;;
157.15;152;123;97;91;;;;;;;4;12;;;;;;;
157.83;154;125;100;87;;;;;;;4;12;;;;;;;
158.55;155;125;97;84;;;;;;;4;12;;;;;;;
159.30;153;122;94;80;;;;;;;4;12;;;;;;;
160.05;151;120;93;80;;;;;;;4;12;;;;;;;
160.83;152;120;91;78;;;;;;;4;12;;;;;;;
161.55;148;122;96;82;;;;;;;4;12;;;;;;;
162.24;149;122;98;87;;;;;;;4;12;;;;;;;
162.94;149;120;96;84;;;;;;;9;12;;;;;;;
163.65;149;119;93;84;;;;;;;9;12;;;;;;;
