経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, A_used, HR_used, V2P_relTTP_used, P2V_relTTP_used, SBP, DBP, IBI_input_ms, IBI_smoothed_ms, used_smoothed_ibi, SBP_raw, DBP_raw, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason
0.010, 1.0496, 113.6378, -0.6633, -0.5804, 1.0496, 108.6244, -0.6633, -0.5804, 90.08, 57.11, 402.0000, 527.9934, 1, 90.08, 57.11, 0, 1, 1, HR:113.6378->108.6244, ok
0.139, 1.7055, 113.6378, -0.9500, -0.5746, 1.0496, 108.6244, -0.6633, -0.5804, 90.08, 57.11, 338.0000, 527.9934, 1, 90.08, 57.11, 0, 1, 0, HR:113.6378->108.6244, rel_ttp_sum_out_of_range
0.772, 9.1491, 113.6378, -0.9500, -0.6834, 1.0496, 108.6244, -0.6633, -0.5804, 90.08, 57.11, 633.0000, 527.9934, 1, 90.08, 57.11, 0, 1, 0, HR:113.6378->108.6244, rel_ttp_sum_out_of_range
1.375, 9.5064, 115.9983, -0.6256, -0.4171, 9.5064, 108.6244, -0.6256, -0.4171, 110.64, 86.90, 603.0000, 517.2492, 1, 110.64, 86.90, 0, 1, 1, HR:115.9983->108.6244, ok
1.945, 1.5852, 107.1190, -0.2189, -0.7114, 1.5852, 107.1190, -0.3555, -0.7114, 104.76, 78.93, 570.0000, 560.1246, 1, 104.76, 78.93, 0, 1, 1, V2P_relTTP:-0.2189->-0.3555, ok
2.810, 1.3227, 106.1830, -0.2895, -0.6947, 1.3227, 106.1830, -0.3555, -0.6947, 103.75, 77.34, 865.0000, 565.0623, 1, 103.75, 77.34, 0, 1, 1, V2P_relTTP:-0.2895->-0.3555, ok
3.348, 1.3227, 83.9124, -0.1908, -0.7249, 1.3227, 83.9124, -0.3555, -0.7249, 111.63, 74.99, 537.0000, 715.0311, 1, 111.63, 74.99, 0, 1, 1, V2P_relTTP:-0.1908->-0.3555, ok
3.976, 2.7122, 83.9124, -0.6760, -0.7374, 1.3227, 83.9124, -0.3555, -0.7249, 111.63, 74.99, 629.0000, 715.0311, 1, 111.63, 74.99, 0, 1, 0, V2P_relTTP:-0.1908->-0.3555, rel_ttp_sum_out_of_range
4.517, 2.5895, 83.9124, -0.5231, -0.7870, 1.3227, 83.9124, -0.3555, -0.7249, 111.63, 74.99, 541.0000, 715.0311, 1, 111.63, 74.99, 0, 1, 0, V2P_relTTP:-0.1908->-0.3555, rel_ttp_sum_out_of_range
5.149, 4.4610, 102.6951, -0.6710, -0.3660, 4.4610, 102.6951, -0.6710, -0.3660, 94.85, 63.02, 632.0000, 584.2539, 1, 94.85, 63.02, 0, 0, 1, ok, ok
5.750, 5.1963, 98.6636, -0.5744, -0.4177, 5.1963, 98.6636, -0.5744, -0.4177, 102.56, 71.81, 600.0000, 608.1269, 1, 102.56, 71.81, 0, 0, 1, ok, ok
6.325, 9.0800, 99.3273, -0.6050, -0.3850, 9.0800, 99.3273, -0.6050, -0.3850, 111.82, 84.18, 576.0000, 604.0635, 1, 111.82, 84.18, 0, 0, 1, ok, ok
6.951, 7.5596, 101.6894, -0.6875, -0.3438, 7.5596, 101.6894, -0.6875, -0.3438, 103.06, 73.20, 625.0000, 590.0317, 1, 103.06, 73.20, 0, 0, 1, ok, ok
7.619, 3.9840, 101.6894, -0.6336, -0.6864, 7.5596, 101.6894, -0.6875, -0.3438, 103.06, 73.20, 669.0000, 590.0317, 1, 103.06, 73.20, 0, 0, 0, ok, rel_ttp_sum_out_of_range
8.228, 3.4253, 94.0059, -0.5426, -0.6413, 3.4253, 94.0059, -0.5426, -0.6413, 106.83, 72.18, 609.0000, 638.2579, 1, 106.83, 72.18, 0, 0, 1, ok, ok
8.960, 5.3351, 96.2111, -0.5961, -0.3793, 5.3351, 96.2111, -0.5961, -0.3793, 101.91, 69.79, 732.0000, 623.6290, 1, 101.91, 69.79, 0, 0, 1, ok, ok
9.592, 6.2950, 88.5198, -0.3156, -0.4959, 6.2950, 88.5198, -0.3555, -0.4959, 117.44, 88.36, 632.0000, 677.8145, 1, 117.44, 88.36, 0, 1, 1, V2P_relTTP:-0.3156->-0.3555, ok
10.097, 6.2950, 91.6160, -0.3655, -0.6266, 6.2950, 91.6160, -0.3655, -0.6266, 120.37, 91.82, 505.0000, 654.9072, 1, 120.37, 91.82, 0, 0, 1, ok, ok
10.733, 8.0889, 103.4565, -0.7842, -0.3267, 8.0889, 103.4565, -0.7842, -0.3267, 100.86, 69.84, 636.0000, 579.9536, 1, 100.86, 69.84, 0, 0, 1, ok, ok
11.330, 9.2108, 98.6880, -0.5189, -0.3632, 9.2108, 98.6880, -0.5189, -0.3632, 114.08, 88.59, 597.0000, 607.9768, 1, 114.08, 88.59, 0, 0, 1, ok, ok
11.961, 9.0950, 99.5870, -0.6064, -0.4422, 9.0950, 99.5870, -0.6064, -0.4422, 113.58, 85.76, 631.0000, 602.4884, 1, 113.58, 85.76, 0, 0, 1, ok, ok
12.600, 8.5868, 97.2851, -0.5230, -0.4184, 8.5868, 97.2851, -0.5230, -0.4184, 114.34, 87.29, 639.0000, 616.7442, 1, 114.34, 87.29, 0, 0, 1, ok, ok
13.203, 9.1654, 95.5609, -0.5164, -0.4648, 9.1654, 95.5609, -0.5164, -0.4648, 118.23, 90.87, 598.0000, 627.8721, 1, 118.23, 90.87, 0, 0, 1, ok, ok
13.869, 8.2796, 97.8895, -0.6070, -0.4415, 8.2796, 97.8895, -0.6070, -0.4415, 111.68, 82.35, 671.0000, 612.9361, 1, 111.68, 82.35, 0, 0, 1, ok, ok
14.467, 8.6457, 93.4626, -0.4426, -0.4426, 8.6457, 93.4626, -0.4426, -0.4426, 118.68, 91.92, 598.0000, 641.9680, 1, 118.68, 91.92, 0, 0, 1, ok, ok
15.172, 6.6672, 96.7767, -0.5518, -0.4967, 6.6672, 96.7767, -0.5518, -0.4967, 110.59, 80.50, 705.0000, 619.9840, 1, 110.59, 80.50, 0, 0, 1, ok, ok
15.713, 7.0187, 90.5671, -0.3277, -0.5135, 7.0187, 90.5671, -0.3555, -0.5135, 119.48, 91.89, 540.0000, 662.4920, 1, 119.48, 91.89, 0, 1, 1, V2P_relTTP:-0.3277->-0.3555, ok
16.341, 7.7419, 99.7928, -0.6111, -0.5500, 7.7419, 99.7928, -0.6111, -0.5500, 112.86, 83.31, 629.0000, 601.2460, 1, 112.86, 83.31, 0, 0, 1, ok, ok
16.972, 7.8456, 97.5415, -0.4722, -0.4706, 7.8456, 97.5415, -0.4722, -0.4706, 115.15, 88.64, 631.0000, 615.1230, 1, 115.15, 88.64, 0, 0, 1, ok, ok
17.547, 7.5869, 96.2987, -0.4168, -0.5230, 7.5869, 96.2987, -0.4168, -0.5230, 117.98, 91.86, 575.0000, 623.0615, 1, 117.98, 91.86, 0, 0, 1, ok, ok
18.143, 7.5869, 100.1618, -0.4574, -0.5165, 7.5869, 100.1618, -0.4574, -0.5165, 115.45, 90.06, 595.0000, 599.0308, 1, 115.45, 90.06, 0, 0, 1, ok, ok
18.816, 9.2375, 100.4999, -0.5546, -0.4437, 9.2375, 100.4999, -0.5546, -0.4437, 115.18, 89.23, 674.0000, 597.0154, 1, 115.18, 89.23, 0, 0, 1, ok, ok
