経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, A_used, HR_used, V2P_relTTP_used, P2V_relTTP_used, SBP, DBP, IBI_input_ms, IBI_smoothed_ms, used_smoothed_ibi, SBP_raw, DBP_raw, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
0.008, 9.5344, 63.7689, -0.6773, -0.3763, 9.5344, 63.7689, -0.6773, -0.3763, 118.51, 88.01, 902.0000, 940.8979, 1, 118.51, 88.01, 0, 0, 1, ok, ok, 98.1749, 30.5084, 98.1749, 30.5084, 98.1749, 30.5084, 118.51, 88.01, 118.51, 88.01, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.806, 9.2418, 65.1148, -0.4390, -0.5854, 9.2418, 65.1148, -0.4390, -0.5854, 116.82, 88.84, 1079.0000, 921.4489, 1, 116.82, 88.84, 0, 0, 1, ok, ok, 98.1666, 27.9869, 98.1724, 29.2476, 98.1724, 29.2476, 117.67, 88.42, 117.67, 88.42, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.712, 9.3828, 65.1148, -0.4893, -0.8258, 9.2418, 65.1148, -0.4390, -0.5854, 116.82, 88.84, 908.0000, 921.4489, 1, 116.82, 88.84, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.645, 9.4213, 65.1148, -0.6542, -0.8711, 9.2418, 65.1148, -0.4390, -0.5854, 116.82, 88.84, 953.0000, 921.4489, 1, 116.82, 88.84, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.714, 9.4951, 62.9224, -0.6925, -0.3463, 9.4951, 62.9224, -0.6925, -0.3463, 118.72, 87.90, 1043.0000, 953.5561, 1, 118.72, 87.90, 0, 0, 1, ok, ok, 98.1758, 30.8213, 98.1734, 30.0345, 98.1734, 30.0345, 118.20, 88.16, 118.20, 88.16, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.553, 9.3771, 60.1035, -0.5053, -0.7910, 9.3771, 60.1035, -0.5053, -0.7910, 113.54, 90.51, 855.0000, 998.2781, 1, 113.54, 90.51, 0, 0, 1, ok, ok, 98.1880, 23.0248, 98.1778, 26.5296, 98.1778, 26.5296, 115.86, 89.33, 115.86, 89.33, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.521, 9.4190, 60.1035, -0.6164, -0.9500, 9.3771, 60.1035, -0.5053, -0.7910, 113.54, 90.51, 966.0000, 998.2781, 1, 113.54, 90.51, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.224, 9.1636, 60.1035, -0.4441, -0.3075, 9.3771, 60.1035, -0.5053, -0.7910, 113.54, 90.51, 713.0000, 998.2781, 1, 113.54, 90.51, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.724, 3.6428, 60.1035, -0.9500, -0.3703, 9.3771, 60.1035, -0.5053, -0.7910, 113.54, 90.51, 480.0000, 998.2781, 1, 113.54, 90.51, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
7.590, 9.4274, 60.1035, -0.8938, -0.5500, 9.3771, 60.1035, -0.5053, -0.7910, 113.54, 90.51, 866.0000, 998.2781, 1, 113.54, 90.51, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
8.365, 9.1836, 78.9043, -0.4192, -0.4954, 9.1836, 78.9043, -0.4192, -0.4954, 120.27, 87.08, 785.0000, 760.4149, 1, 120.27, 87.08, 0, 0, 1, ok, ok, 98.1402, 33.1876, 98.1665, 29.8586, 98.1665, 29.8586, 118.07, 88.21, 118.07, 88.21, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
9.469, 0.5377, 78.9043, -0.2102, -0.5045, 9.1836, 78.9043, -0.4192, -0.4954, 120.27, 87.08, 1092.0000, 760.4149, 1, 120.27, 87.08, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
10.134, 0.3183, 78.9043, -0.9500, -0.4231, 9.1836, 78.9043, -0.4192, -0.4954, 120.27, 87.08, 683.0000, 760.4149, 1, 120.27, 87.08, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
11.170, 7.1921, 78.9043, -0.6281, -0.6764, 9.1836, 78.9043, -0.4192, -0.4954, 120.27, 87.08, 1022.0000, 760.4149, 1, 120.27, 87.08, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
12.069, 9.3932, 78.9043, -0.5812, -0.8395, 9.1836, 78.9043, -0.4192, -0.4954, 120.27, 87.08, 923.0000, 760.4149, 1, 120.27, 87.08, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
13.073, 8.4940, 65.2941, -0.4290, -0.7866, 8.4940, 65.2941, -0.4290, -0.7866, 115.29, 89.62, 984.0000, 918.9192, 1, 115.29, 89.62, 0, 0, 1, ok, ok, 98.1739, 25.6682, 98.1687, 27.7634, 98.1687, 27.7634, 116.68, 88.91, 116.68, 88.91, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
13.977, 9.3160, 63.0610, -0.5701, -0.7043, 9.3160, 63.0610, -0.5701, -0.7043, 115.02, 89.76, 921.0000, 951.4596, 1, 115.02, 89.76, 0, 0, 1, ok, ok, 98.1837, 25.2586, 98.1732, 26.5110, 98.1732, 26.5110, 115.85, 89.34, 115.85, 89.34, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
