経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
0.000, 4.3305, 76.2042, 4.3353, 1.5735, 4.3305, 76.2042, 4.3353, 0.9996, -0.0027, 124.73, 89.04, 1.0000, -0.0027, -0.0115, 4.3305, 0.8381, 782.0000, 787.3584, 1, 24, 0.3731, 9.5680, 9.1949, 3.1748, 0.3657, 0.6343, 124.73, 89.04, 124.73, 89.04, 0, 0, 1, 1, sinPhi:1.0000->0.9996, ok, 100.9334, 35.6949, 100.9334, 35.6949, 100.9334, 35.6949, 124.73, 89.04, 124.73, 89.04, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.718, 4.3305, 76.2042, 4.3353, 1.5735, 4.3305, 76.2042, 4.3353, 0.9996, -0.0027, 124.73, 89.04, 1.0000, -0.0027, -0.0115, 4.3305, 0.8381, 782.0000, 787.3584, 1, 24, 0.3731, 9.5680, 9.1949, 3.1748, 0.3657, 0.6343, 124.73, 89.04, 124.73, 89.04, 0, 0, 1, 1, sinPhi:1.0000->0.9996, ok, 100.9334, 35.6949, 100.9334, 35.6949, 100.9334, 35.6949, 124.73, 89.04, 124.73, 89.04, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.558, 4.2585, 74.8896, 4.7630, 1.0635, 4.2585, 74.8896, 4.7630, 0.8740, 0.4859, 116.03, 78.69, 0.8740, 0.4859, 2.0690, 3.7221, 0.8085, 794.0000, 801.1792, 1, 24, 0.4374, 9.5680, 9.1306, 3.1178, 0.3237, 0.6763, 116.03, 78.69, 116.03, 78.69, 0, 0, 0, 1, ok, ok, 91.1351, 37.3403, 97.9939, 36.5176, 97.9939, 36.5176, 122.34, 85.82, 122.34, 85.82, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.391, 4.3452, 73.1182, 4.5554, 1.2354, 4.3452, 73.1182, 4.5554, 0.9443, 0.3292, 119.37, 81.74, 0.9443, 0.3292, 1.4303, 4.1030, 0.8485, 821.0000, 820.5896, 1, 25, 0.4067, 9.4805, 9.0739, 3.1875, 0.3057, 0.6943, 119.37, 81.74, 119.37, 81.74, 0, 0, 0, 1, ok, ok, 94.2862, 37.6244, 96.8816, 37.0710, 96.8816, 37.0710, 121.60, 84.52, 121.60, 84.52, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.229, 4.3078, 0.0000, 4.1199, 1.5510, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 119.37, 81.74, 0.9998, 0.0198, 0.0852, 4.3070, 1.0207, 832.0000, 0.0000, 0, 25, 0.2801, 9.6208, 9.3408, 3.2126, 0.3510, 0.6490, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.126, 4.4547, 71.4160, 5.0435, 1.0923, 4.4547, 71.4160, 5.0435, 0.8877, 0.4604, 117.92, 78.91, 0.8877, 0.4604, 2.0512, 3.9544, 0.7620, 822.0000, 840.1474, 1, 24, 0.3544, 9.5071, 9.1526, 3.2408, 0.3929, 0.6071, 117.92, 78.91, 117.92, 78.91, 0, 0, 0, 1, ok, ok, 91.9105, 39.0164, 95.3903, 38.0437, 95.3903, 38.0437, 120.75, 82.71, 120.75, 82.71, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.931, 4.3577, 70.1694, 4.9293, 1.1692, 4.3577, 70.1694, 4.9293, 0.9205, 0.3908, 118.93, 79.86, 0.9205, 0.3908, 1.7032, 4.0111, 0.8360, 857.0000, 855.0737, 1, 26, 0.4493, 9.5757, 9.1264, 3.1928, 0.3384, 0.6616, 118.93, 79.86, 118.93, 79.86, 0, 0, 0, 1, ok, ok, 92.8817, 39.0744, 94.6377, 38.5590, 94.6377, 38.5590, 120.34, 81.78, 120.34, 81.78, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.767, 4.3364, 71.4254, 4.2655, 1.1095, 4.3364, 71.4254, 4.2655, 0.8955, 0.4451, 118.11, 79.47, 0.8955, 0.4451, 1.9301, 3.8832, 0.7477, 873.0000, 840.0369, 1, 26, 0.2904, 9.5738, 9.2833, 3.1561, 0.3150, 0.6850, 118.11, 79.47, 118.11, 79.47, 0, 0, 0, 1, ok, ok, 92.3514, 38.6360, 93.9518, 38.5975, 93.9518, 38.5975, 119.68, 81.09, 119.68, 81.09, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.569, 4.1496, 0.0000, 3.8582, 1.6311, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 118.11, 79.47, 0.9982, -0.0602, -0.2499, 4.1420, 1.0396, 820.0000, 0.0000, 0, 25, 0.3300, 9.5610, 9.2310, 3.1129, 0.3488, 0.6512, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
7.367, 4.3121, 72.9475, 4.9445, 1.2657, 4.3121, 72.9475, 4.9445, 0.9538, 0.3004, 119.51, 81.90, 0.9538, 0.3004, 1.2952, 4.1130, 0.7943, 809.0000, 822.5092, 1, 24, 0.3885, 9.5986, 9.2101, 3.1509, 0.3758, 0.6242, 119.51, 81.90, 119.51, 81.90, 0, 0, 0, 1, ok, ok, 94.4383, 37.6056, 94.0978, 38.1015, 94.0978, 38.1015, 119.50, 81.40, 119.50, 81.40, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
