経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
36.459, 4.3894, 89.3025, 4.8151, 1.5929, 4.3894, 89.3025, 4.8151, 0.9996, -0.0221, 121.02, 86.72, 0.9998, -0.0221, -0.0970, 4.3883, 0.4408, 687.0000, 671.8737, 1, 20, 0.5168, 9.7769, 9.2601, 3.1349, 0.4745, 0.5255, 121.02, 86.72, 121.02, 86.72, 0, 0, 1, 1, sinPhi:0.9998->0.9996, ok, 98.1551, 34.2994, 98.1532, 34.9182, 98.1532, 34.9182, 121.43, 86.51, 121.43, 86.51, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
37.087, 4.3652, 86.2147, 5.5621, 1.2025, 4.3652, 86.2147, 5.5621, 0.9330, 0.3600, 122.41, 86.01, 0.9330, 0.3600, 1.5714, 4.0725, 0.5848, 679.0000, 695.9369, 1, 20, 0.6181, 9.7303, 9.1122, 3.1416, 0.4153, 0.5847, 122.41, 86.01, 122.41, 86.01, 0, 0, 0, 1, ok, ok, 98.1438, 36.3973, 98.1504, 35.6578, 98.1504, 35.6578, 121.92, 86.26, 121.92, 86.26, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
37.759, 4.3913, 90.6388, 5.4514, 1.5357, 4.3913, 90.6388, 5.4514, 0.9994, 0.0351, 121.24, 86.60, 0.9994, 0.0351, 0.1540, 4.3886, 0.3441, 714.0000, 661.9684, 1, 22, 0.5974, 9.8009, 9.2035, 3.1242, 0.4356, 0.5644, 121.24, 86.60, 121.24, 86.60, 0, 0, 0, 1, ok, ok, 98.1494, 34.6427, 98.1501, 35.1502, 98.1501, 35.1502, 121.58, 86.43, 121.58, 86.43, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
38.423, 4.4785, 90.8424, 5.3195, 1.8624, 4.4785, 90.8424, 5.3195, 0.9578, -0.2874, 121.71, 86.37, 0.9578, -0.2874, -1.2873, 4.2895, 0.3675, 632.0000, 660.4842, 1, 19, 0.7185, 9.8750, 9.1565, 3.1881, 0.5396, 0.4604, 121.71, 86.37, 121.71, 86.37, 0, 0, 0, 1, ok, ok, 98.1473, 35.3430, 98.1492, 35.2466, 98.1492, 35.2466, 121.65, 86.40, 121.65, 86.40, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
39.061, 4.0645, 89.9224, 6.1445, 1.3819, 4.0645, 89.9224, 6.1445, 0.9822, 0.1877, 122.49, 85.97, 0.9822, 0.1877, 0.7630, 3.9922, 0.6778, 654.0000, 667.2421, 1, 19, 0.9247, 9.8134, 8.8886, 2.9529, 0.4343, 0.5657, 122.49, 85.97, 122.49, 85.97, 0, 0, 0, 1, ok, ok, 98.1450, 36.5243, 98.1480, 35.8854, 98.1480, 35.8854, 122.07, 86.19, 122.07, 86.19, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
39.799, 4.4220, 91.3074, 6.0324, 1.3078, 4.4220, 91.3074, 6.0324, 0.9656, 0.2600, 122.13, 86.15, 0.9656, 0.2600, 1.1497, 4.2699, 0.7187, 681.0000, 657.1211, 1, 21, 0.5894, 9.9073, 9.3179, 3.2083, 0.4097, 0.5903, 122.13, 86.15, 122.13, 86.15, 0, 0, 0, 1, ok, ok, 98.1406, 35.9776, 98.1457, 35.9315, 98.1457, 35.9315, 122.10, 86.17, 122.10, 86.17, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
40.507, 4.2633, 86.8231, 5.9464, 1.4512, 4.2633, 86.8231, 5.9464, 0.9929, 0.1193, 121.35, 86.55, 0.9929, 0.1193, 0.5088, 4.2328, 0.6407, 652.0000, 691.0605, 1, 19, 0.6563, 9.7977, 9.1414, 3.0819, 0.4264, 0.5736, 121.35, 86.55, 121.35, 86.55, 0, 0, 0, 1, ok, ok, 98.1477, 34.8063, 98.1463, 35.3689, 98.1463, 35.3689, 121.73, 86.36, 121.73, 86.36, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
41.140, 4.3028, 86.6388, 6.2007, 1.7108, 4.3028, 86.6388, 6.2007, 0.9902, -0.1395, 121.14, 86.65, 0.9902, -0.1395, -0.6004, 4.2607, 0.6773, 719.0000, 692.5303, 1, 22, 0.7197, 9.8715, 9.1518, 3.1170, 0.4743, 0.5257, 121.14, 86.65, 121.14, 86.65, 0, 0, 0, 1, ok, ok, 98.1464, 34.4858, 98.1464, 34.9273, 98.1464, 34.9273, 121.43, 86.50, 121.43, 86.50, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
41.806, 4.1107, 90.3254, 6.3180, 1.4465, 4.1107, 90.3254, 6.3180, 0.9923, 0.1239, 122.18, 86.13, 0.9923, 0.1239, 0.5095, 4.0790, 0.8176, 688.0000, 664.2651, 1, 20, 0.7634, 9.8419, 9.0785, 3.0195, 0.4680, 0.5320, 122.18, 86.13, 122.18, 86.13, 0, 0, 0, 1, ok, ok, 98.1443, 36.0544, 98.1457, 35.4908, 98.1457, 35.4908, 121.81, 86.32, 121.81, 86.32, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
42.474, 4.0636, 88.7400, 6.2392, 1.2891, 4.0636, 88.7400, 6.2392, 0.9606, 0.2780, 122.88, 85.78, 0.9606, 0.2780, 1.1296, 3.9034, 0.6873, 635.0000, 676.1326, 1, 19, 0.8026, 9.8771, 9.0745, 2.9544, 0.4189, 0.5811, 122.88, 85.78, 122.88, 85.78, 0, 0, 0, 1, ok, ok, 98.1426, 37.1022, 98.1448, 36.2965, 98.1448, 36.2965, 122.34, 86.05, 122.34, 86.05, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
43.273, 4.2531, 90.1488, 6.1176, 1.4467, 4.2531, 90.1488, 6.1176, 0.9923, 0.1237, 121.78, 86.33, 0.9923, 0.1237, 0.5263, 4.2204, 0.7070, 696.0000, 665.5663, 1, 21, 0.6848, 9.8841, 9.1993, 3.0894, 0.4167, 0.5833, 121.78, 86.33, 121.78, 86.33, 0, 0, 0, 1, ok, ok, 98.1447, 35.4580, 98.1448, 35.8773, 98.1448, 35.8773, 122.06, 86.19, 122.06, 86.19, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
