経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, SBP_process, DBP_process, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
98.281, 4.6143, 62.5970, 4.8929, 1.1304, 4.6143, 62.5970, 4.8929, 0.9046, 0.4263, 121.33, 86.57, 121.33, 86.57, 0.9046, 0.4263, 1.9670, 4.1741, 0.7976, 958.0000, 958.5129, 1, 28, 0.2808, 9.5393, 9.2585, 3.3589, 0.3664, 0.6336, 121.33, 86.57, 121.33, 86.57, 0, 0, 0, 1, ok, ok, 98.1582, 34.7512, 98.1596, 35.0424, 98.1596, 35.0424, 121.52, 86.48, 121.52, 86.48, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
99.383, 4.5761, 62.8433, 5.1315, 1.2331, 4.5761, 62.8433, 5.1315, 0.9435, 0.3313, 121.69, 86.40, 121.69, 86.40, 0.9435, 0.3313, 1.5161, 4.3176, 0.8228, 948.0000, 954.7564, 1, 29, 0.3867, 9.6894, 9.3027, 3.3388, 0.3302, 0.6698, 121.69, 86.40, 121.69, 86.40, 0, 0, 0, 1, ok, ok, 98.1611, 35.2883, 98.1601, 35.1653, 98.1601, 35.1653, 121.60, 86.44, 121.60, 86.44, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
100.115, 4.6377, 57.9219, 4.7829, 1.0820, 4.6377, 57.9219, 4.7829, 0.8829, 0.4695, 122.52, 85.99, 122.52, 85.99, 0.8829, 0.4695, 2.1776, 4.0947, 0.7762, 958.0000, 1035.8782, 1, 28, 0.4081, 9.5249, 9.1167, 3.3700, 0.3424, 0.6576, 122.52, 85.99, 122.52, 85.99, 0, 0, 0, 1, ok, ok, 98.1659, 36.5358, 98.1618, 35.8506, 98.1618, 35.8506, 122.06, 86.21, 122.06, 86.21, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
101.056, 4.7749, 68.3808, 5.3288, 1.7879, 4.7749, 68.3808, 5.3288, 0.9765, -0.2154, 122.90, 85.81, 122.90, 85.81, 0.9765, -0.2154, -1.0283, 4.6628, 0.8126, 1117.0000, 877.4391, 1, 34, 0.2995, 9.7931, 9.4936, 3.4727, 0.4342, 0.5658, 122.90, 85.81, 122.90, 85.81, 0, 0, 0, 1, ok, ok, 98.1757, 37.0864, 98.1660, 36.4685, 98.1660, 36.4685, 122.48, 86.01, 122.48, 86.01, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
101.887, 4.6613, 0.0000, 4.7520, 1.2947, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 122.90, 85.81, 122.90, 85.81, 0.9621, 0.2726, 1.2709, 4.4847, 0.3909, 719.0000, 0.0000, 0, 21, 0.4233, 9.7178, 9.2945, 3.3191, 0.4451, 0.5549, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
102.824, 4.3937, 68.3870, 5.3622, 1.1480, 4.3937, 68.3870, 5.3622, 0.9119, 0.4103, 119.80, 87.32, 119.80, 87.32, 0.9119, 0.4103, 1.8029, 4.0068, 0.9409, 852.0000, 877.3598, 1, 26, 0.3132, 9.6050, 9.2917, 3.2462, 0.3404, 0.6596, 119.80, 87.32, 119.80, 87.32, 0, 0, 0, 1, ok, ok, 98.1485, 32.4826, 98.1607, 34.4755, 98.1607, 34.4755, 121.14, 86.67, 121.14, 86.67, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
103.819, 4.3937, 68.3870, 5.3622, 1.1480, 4.3937, 68.3870, 5.3622, 0.9119, 0.4103, 119.80, 87.32, 119.80, 87.32, 0.9119, 0.4103, 1.8029, 4.0068, 0.9409, 852.0000, 877.3598, 1, 26, 0.3132, 9.6050, 9.2917, 3.2462, 0.3404, 0.6596, 119.80, 87.32, 119.80, 87.32, 0, 0, 0, 1, ok, ok, 98.1485, 32.4826, 98.1571, 33.4791, 98.1571, 33.4791, 120.48, 87.00, 120.48, 87.00, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
104.825, 3.6768, 0.0000, 4.3796, 0.2716, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 119.80, 87.32, 119.80, 87.32, 0.2683, 0.9633, 3.5419, 0.9865, 1.5878, 582.0000, 0.0000, 0, 17, 0.7509, 9.4073, 8.6564, 3.0464, 0.2629, 0.7371, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
105.733, 3.0458, 0.0000, 4.4382, 6.2297, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 119.80, 87.32, 119.80, 87.32, -0.0535, 0.9986, 3.0415, -0.1628, 2.6444, 1354.0000, 0.0000, 0, 41, 0.3239, 9.6638, 9.3399, 3.4105, 0.4114, 0.5886, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
106.700, 4.4707, 63.9132, 4.3105, 1.2215, 4.4707, 63.9132, 4.3105, 0.9396, 0.3422, 120.28, 87.09, 120.28, 87.09, 0.9396, 0.3422, 1.5299, 4.2008, 0.9903, 1008.0000, 938.7725, 1, 30, 0.2990, 9.7623, 9.4633, 3.3128, 0.2946, 0.7054, 120.28, 87.09, 120.28, 87.09, 0, 0, 0, 1, ok, ok, 98.1548, 33.1949, 98.1564, 33.3370, 98.1564, 33.3370, 120.38, 87.04, 120.38, 87.04, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
107.703, 4.4105, 63.2320, 5.4894, 1.0680, 4.4105, 63.2320, 5.4894, 0.8762, 0.4819, 121.32, 86.57, 121.32, 86.57, 0.8762, 0.4819, 2.1255, 3.8646, 0.8408, 891.0000, 948.8862, 1, 26, 0.5601, 9.6306, 9.0705, 3.2301, 0.3636, 0.6364, 121.32, 86.57, 121.32, 86.57, 0, 0, 0, 1, ok, ok, 98.1575, 34.7512, 98.1567, 34.0441, 98.1567, 34.0441, 120.85, 86.81, 120.85, 86.81, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
108.638, 4.7823, 61.1656, 5.4965, 1.1023, 4.7823, 61.1656, 5.4965, 0.8922, 0.4515, 122.62, 85.94, 122.62, 85.94, 0.8922, 0.4515, 2.1595, 4.2670, 0.7610, 959.0000, 980.9431, 1, 29, 0.4319, 9.7380, 9.3061, 3.4662, 0.3347, 0.6653, 122.62, 85.94, 122.62, 85.94, 0, 0, 0, 1, ok, ok, 98.1636, 36.6837, 98.1588, 35.3639, 98.1588, 35.3639, 121.73, 86.37, 121.73, 86.37, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
109.573, 4.8349, 62.1780, 4.4864, 1.1570, 4.8349, 62.1780, 4.4864, 0.9156, 0.4021, 121.44, 86.52, 121.44, 86.52, 0.9156, 0.4021, 1.9442, 4.4268, 0.7939, 1010.0000, 964.9716, 1, 30, 0.3011, 9.7311, 9.4301, 3.5098, 0.3040, 0.6960, 121.44, 86.52, 121.44, 86.52, 0, 0, 0, 1, ok, ok, 98.1587, 34.9170, 98.1588, 35.1405, 98.1588, 35.1405, 121.59, 86.45, 121.59, 86.45, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
110.542, 4.7436, 63.1256, 5.0886, 1.1150, 4.7436, 63.1256, 5.0886, 0.8979, 0.4402, 121.57, 86.45, 121.57, 86.45, 0.8979, 0.4402, 2.0882, 4.2592, 0.8217, 952.0000, 950.4858, 1, 29, 0.3466, 9.7243, 9.3778, 3.4534, 0.3277, 0.6723, 121.57, 86.45, 121.57, 86.45, 0, 0, 0, 1, ok, ok, 98.1582, 35.1132, 98.1586, 35.1268, 98.1586, 35.1268, 121.58, 86.45, 121.58, 86.45, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
111.513, 4.6497, 62.6146, 5.1648, 1.2639, 4.6497, 62.6146, 5.1648, 0.9533, 0.3021, 122.00, 86.25, 122.00, 86.25, 0.9533, 0.3021, 1.4046, 4.4325, 0.7276, 937.0000, 958.2429, 1, 28, 0.3374, 9.7495, 9.4121, 3.3674, 0.3650, 0.6350, 122.00, 86.25, 122.00, 86.25, 0, 0, 0, 1, ok, ok, 98.1629, 35.7514, 98.1599, 35.4391, 98.1599, 35.4391, 121.79, 86.35, 121.79, 86.35, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
112.516, 4.8939, 62.2974, 4.8557, 1.1277, 4.8939, 62.2974, 4.8557, 0.9034, 0.4288, 121.84, 86.32, 121.84, 86.32, 0.9034, 0.4288, 2.0983, 4.4212, 0.7824, 967.0000, 963.1214, 1, 29, 0.2816, 9.6795, 9.3979, 3.5478, 0.3371, 0.6629, 121.84, 86.32, 121.84, 86.32, 0, 0, 0, 1, ok, ok, 98.1596, 35.5141, 98.1598, 35.4766, 98.1598, 35.4766, 121.81, 86.33, 121.81, 86.33, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
113.449, 4.8939, 62.2974, 4.8557, 1.1277, 4.8939, 62.2974, 4.8557, 0.9034, 0.4288, 121.84, 86.32, 121.84, 86.32, 0.9034, 0.4288, 2.0983, 4.4212, 0.7824, 967.0000, 963.1214, 1, 29, 0.2816, 9.6795, 9.3979, 3.5478, 0.3371, 0.6629, 121.84, 86.32, 121.84, 86.32, 0, 0, 0, 1, ok, ok, 98.1596, 35.5141, 98.1598, 35.4954, 98.1598, 35.4954, 121.82, 86.33, 121.82, 86.33, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
114.320, 3.9056, 0.0000, 4.4535, 0.2162, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 121.84, 86.32, 121.84, 86.32, 0.2145, 0.9767, 3.8147, 0.8377, 1.5580, 663.0000, 0.0000, 0, 19, 0.6546, 9.4332, 8.7786, 3.1708, 0.2443, 0.7557, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
115.223, 3.0136, 0.0000, 4.7047, 5.9493, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 121.84, 86.32, 121.84, 86.32, -0.3278, 0.9448, 2.8472, -0.9877, 2.6915, 1276.0000, 0.0000, 0, 39, 0.3780, 9.5980, 9.2200, 3.4329, 0.3629, 0.6371, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
116.193, 4.1017, 66.3941, 5.4542, 1.2059, 4.1017, 66.3941, 5.4542, 0.9342, 0.3569, 120.13, 87.16, 120.13, 87.16, 0.9342, 0.3569, 1.4637, 3.8317, 0.9894, 878.0000, 903.6951, 1, 26, 0.5009, 9.7389, 9.2380, 3.0645, 0.3815, 0.6185, 120.13, 87.16, 120.13, 87.16, 0, 0, 0, 1, ok, ok, 98.1530, 32.9665, 98.1577, 34.2309, 98.1577, 34.2309, 120.98, 86.75, 120.98, 86.75, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
117.155, 4.7093, 64.1473, 5.4547, 1.1069, 4.7093, 64.1473, 5.4547, 0.8943, 0.4474, 121.59, 86.44, 121.59, 86.44, 0.8943, 0.4474, 2.1070, 4.2117, 0.8436, 886.0000, 935.3475, 1, 27, 0.3637, 9.6705, 9.3068, 3.4352, 0.3589, 0.6411, 121.59, 86.44, 121.59, 86.44, 0, 0, 0, 1, ok, ok, 98.1575, 35.1470, 98.1577, 34.6890, 98.1577, 34.6890, 121.28, 86.59, 121.28, 86.59, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
118.061, 4.4993, 63.6150, 4.4989, 1.1065, 4.4993, 63.6150, 4.4989, 0.8942, 0.4478, 120.37, 87.05, 120.37, 87.05, 0.8942, 0.4478, 2.0146, 4.0230, 0.8140, 959.0000, 943.1738, 1, 28, 0.3674, 9.3795, 9.0120, 3.2839, 0.3493, 0.6507, 120.37, 87.05, 120.37, 87.05, 0, 0, 0, 1, ok, ok, 98.1536, 33.3172, 98.1564, 34.0031, 98.1564, 34.0031, 120.83, 86.82, 120.83, 86.82, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
119.000, 4.5227, 64.3372, 4.4150, 1.1747, 4.5227, 64.3372, 4.4150, 0.9226, 0.3858, 120.25, 87.11, 120.25, 87.11, 0.9226, 0.3858, 1.7450, 4.1725, 0.8525, 963.0000, 932.5869, 1, 29, 0.3651, 9.5716, 9.2065, 3.3097, 0.3063, 0.6937, 120.25, 87.11, 120.25, 87.11, 0, 0, 0, 1, ok, ok, 98.1534, 33.1381, 98.1555, 33.5706, 98.1555, 33.5706, 120.54, 86.97, 120.54, 86.97, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
119.899, 4.5008, 64.4958, 4.9153, 1.1981, 4.5008, 64.4958, 4.9153, 0.9314, 0.3641, 120.76, 86.86, 120.76, 86.86, 0.9314, 0.3641, 1.6388, 4.1919, 0.8582, 921.0000, 930.2934, 1, 28, 0.4027, 9.6423, 9.2396, 3.2962, 0.3084, 0.6916, 120.76, 86.86, 120.76, 86.86, 0, 0, 0, 1, ok, ok, 98.1557, 33.8999, 98.1556, 33.7353, 98.1556, 33.7353, 120.65, 86.91, 120.65, 86.91, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
120.767, 4.5245, 64.9951, 4.6751, 1.2864, 4.5245, 64.9951, 4.6751, 0.9598, 0.2806, 120.63, 86.92, 120.63, 86.92, 0.9598, 0.2806, 1.2696, 4.3427, 0.7287, 929.0000, 923.1467, 1, 27, 0.3496, 9.6387, 9.2891, 3.2812, 0.3864, 0.6136, 120.63, 86.92, 120.63, 86.92, 0, 0, 0, 1, ok, ok, 98.1563, 33.7106, 98.1558, 33.7229, 98.1558, 33.7229, 120.64, 86.91, 120.64, 86.91, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
121.639, 4.8719, 67.3345, 5.5719, 0.9909, 4.8719, 67.3345, 5.5719, 0.8365, 0.5479, 120.88, 86.79, 120.88, 86.79, 0.8365, 0.5479, 2.6694, 4.0755, 0.8959, 915.0000, 891.0734, 1, 28, 0.3260, 9.7182, 9.3922, 3.5595, 0.3464, 0.6536, 120.88, 86.79, 120.88, 86.79, 0, 0, 0, 1, ok, ok, 98.1506, 34.0916, 98.1542, 33.9073, 98.1542, 33.9073, 120.76, 86.85, 120.76, 86.85, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
122.573, 4.5295, 68.2177, 5.6054, 1.0994, 4.5295, 68.2177, 5.6054, 0.8909, 0.4541, 120.25, 87.10, 120.25, 87.10, 0.8909, 0.4541, 2.0570, 4.0355, 0.9410, 858.0000, 879.5367, 1, 26, 0.3823, 9.6253, 9.2430, 3.3383, 0.3741, 0.6259, 120.25, 87.10, 120.25, 87.10, 0, 0, 0, 1, ok, ok, 98.1494, 33.1436, 98.1528, 33.5255, 98.1528, 33.5255, 120.50, 86.98, 120.50, 86.98, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
