経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, A_used, HR_used, V2P_relTTP_used, P2V_relTTP_used, SBP, DBP, IBI_input_ms, IBI_smoothed_ms, used_smoothed_ibi, SBP_raw, DBP_raw, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
0.037, 9.3823, 75.6532, -0.7021, -0.3717, 9.3823, 75.6532, -0.7021, -0.3717, 116.97, 76.42, 861.0000, 793.0926, 1, 116.97, 76.42, 0, 0, 1, ok, ok, 89.9346, 40.5530, 89.9346, 40.5530, 89.9346, 40.5530, 116.97, 76.42, 116.97, 76.42, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.497, 9.3495, 72.5473, -0.4599, -0.3449, 9.3495, 72.5473, -0.4599, -0.3449, 123.65, 88.04, 1177.0000, 827.0463, 1, 123.65, 88.04, 0, 0, 1, ok, ok, 99.9098, 35.6037, 92.9272, 38.0784, 92.9272, 38.0784, 118.31, 80.23, 118.31, 80.23, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.097, 9.4758, 59.8789, -0.8692, -0.3636, 9.4758, 59.8789, -0.8692, -0.3636, 117.29, 65.40, 600.0000, 1002.0232, 1, 117.29, 65.40, 0, 0, 1, ok, ok, 82.6961, 51.8966, 89.8579, 44.9875, 89.8579, 44.9875, 119.85, 74.86, 119.85, 74.86, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.003, 9.4279, 59.8789, -0.9350, -0.5500, 9.4758, 59.8789, -0.8692, -0.3636, 117.29, 65.40, 905.0000, 1002.0232, 1, 117.29, 65.40, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.904, 9.3984, 70.3395, -0.5834, -0.3646, 9.3984, 70.3395, -0.5834, -0.3646, 121.71, 81.86, 922.0000, 853.0058, 1, 121.71, 81.86, 0, 0, 1, ok, ok, 95.1436, 39.8447, 91.4436, 42.4161, 91.4436, 42.4161, 119.72, 77.30, 119.72, 77.30, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.783, 9.5558, 67.6054, -0.5369, -0.3937, 9.5558, 67.6054, -0.5369, -0.3937, 125.22, 85.35, 850.0000, 887.5029, 1, 125.22, 85.35, 0, 0, 1, ok, ok, 98.6400, 39.8758, 93.6025, 41.1460, 93.6025, 41.1460, 121.03, 79.89, 121.03, 79.89, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.704, 8.5791, 69.0646, -0.4271, -0.4271, 8.5791, 69.0646, -0.4271, -0.4271, 126.00, 88.60, 933.0000, 868.7514, 1, 126.00, 88.60, 0, 0, 1, ok, ok, 101.0664, 37.3973, 95.8417, 39.2717, 95.8417, 39.2717, 122.02, 82.75, 122.02, 82.75, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.607, 9.3926, 69.0646, -0.5659, -0.8124, 8.5791, 69.0646, -0.4271, -0.4271, 126.00, 88.60, 906.0000, 868.7514, 1, 126.00, 88.60, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.449, 9.4944, 69.0646, -0.5464, -0.8377, 8.5791, 69.0646, -0.4271, -0.4271, 126.00, 88.60, 861.0000, 868.7514, 1, 126.00, 88.60, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
7.383, 9.3910, 68.0103, -0.6516, -0.3833, 9.3910, 68.0103, -0.6516, -0.3833, 121.13, 78.37, 901.0000, 882.2189, 1, 121.13, 78.37, 0, 0, 1, ok, ok, 92.6260, 42.7547, 94.8770, 41.0132, 94.8770, 41.0132, 122.22, 81.21, 122.22, 81.21, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
8.290, 9.6056, 67.2940, -0.6215, -0.4029, 9.6056, 67.2940, -0.6215, -0.4029, 123.43, 81.23, 919.0000, 891.6095, 1, 123.43, 81.23, 0, 0, 1, ok, ok, 95.2949, 42.2039, 95.0024, 41.6085, 95.0024, 41.6085, 122.74, 81.13, 122.74, 81.13, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
9.191, 9.5297, 66.2760, -0.6104, -0.3591, 9.5297, 66.2760, -0.6104, -0.3591, 122.43, 80.19, 908.0000, 905.3047, 1, 122.43, 80.19, 0, 0, 1, ok, ok, 94.2718, 42.2418, 94.7832, 41.9252, 94.7832, 41.9252, 122.73, 80.81, 122.73, 80.81, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
10.119, 9.2064, 66.2760, -0.6178, -0.8359, 9.5297, 66.2760, -0.6104, -0.3591, 122.43, 80.19, 929.0000, 905.3047, 1, 122.43, 80.19, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
11.056, 9.4276, 66.2760, -0.6039, -0.8170, 9.5297, 66.2760, -0.6104, -0.3591, 122.43, 80.19, 945.0000, 905.3047, 1, 122.43, 80.19, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
