経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
95.056, 4.9107, 64.7693, 5.3210, 1.7916, 4.9107, 64.7693, 5.3210, 0.9757, -0.2190, 117.27, 88.60, 0.9757, -0.2190, -1.0753, 4.7915, 0.6449, 1043.0000, 926.3643, 1, 31, 0.5233, 9.6989, 9.1756, 3.5318, 0.4871, 0.5129, 117.27, 88.60, 117.27, 88.60, 0, 0, 0, 1, ok, ok, 98.1584, 28.6722, 98.1565, 29.0786, 98.1565, 29.0786, 117.54, 88.46, 117.54, 88.46, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
96.000, 5.0219, 67.0629, 5.1804, 1.7210, 5.0219, 67.0629, 5.1804, 0.9887, -0.1496, 117.01, 88.73, 0.9887, -0.1496, -0.7514, 4.9654, 0.6467, 940.0000, 894.6821, 1, 28, 0.2301, 9.7873, 9.5572, 3.6094, 0.4702, 0.5298, 117.01, 88.73, 117.01, 88.73, 0, 0, 0, 1, ok, ok, 98.1582, 28.2835, 98.1570, 28.6810, 98.1570, 28.6810, 117.28, 88.60, 117.28, 88.60, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
96.897, 4.5871, 65.5493, 6.0497, 1.0677, 4.5871, 65.5493, 6.0497, 0.8761, 0.4821, 120.76, 86.83, 0.8761, 0.4821, 2.2116, 4.0187, 0.7959, 756.0000, 915.3411, 1, 23, 0.5918, 9.8314, 9.2396, 3.3398, 0.3783, 0.6217, 120.76, 86.83, 120.76, 86.83, 0, 0, 0, 1, ok, ok, 98.1435, 33.9323, 98.1529, 31.3067, 98.1529, 31.3067, 119.02, 87.72, 119.02, 87.72, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
97.862, 4.0457, 0.0000, 6.4728, 1.1519, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 120.76, 86.83, 0.9135, 0.4068, 1.6457, 3.6959, 1.3543, 926.0000, 0.0000, 0, 28, 0.7795, 9.8106, 9.0311, 3.1651, 0.4179, 0.5821, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
98.697, 4.8104, 64.4236, 5.6513, 1.2985, 4.8104, 64.4236, 5.6513, 0.9632, 0.2689, 118.08, 88.19, 0.9632, 0.2689, 1.2936, 4.6332, 0.6874, 898.0000, 931.3353, 1, 27, 0.4983, 9.8626, 9.3642, 3.4702, 0.3708, 0.6292, 118.08, 88.19, 118.08, 88.19, 0, 0, 0, 1, ok, ok, 98.1537, 29.8866, 98.1532, 30.5966, 98.1532, 30.5966, 118.55, 87.95, 118.55, 87.95, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
99.603, 4.7684, 68.1301, 5.5196, 1.3164, 4.7684, 68.1301, 5.5196, 0.9678, 0.2516, 118.50, 87.98, 0.9678, 0.2516, 1.1998, 4.6150, 0.6950, 828.0000, 880.6676, 1, 25, 0.2848, 9.7849, 9.5001, 3.4427, 0.4324, 0.5676, 118.50, 87.98, 118.50, 87.98, 0, 0, 0, 1, ok, ok, 98.1537, 30.5127, 98.1533, 30.5547, 98.1533, 30.5547, 118.52, 87.97, 118.52, 87.97, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
100.544, 4.4695, 0.0000, 4.8621, 0.3174, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 118.50, 87.98, 0.3121, 0.9501, 4.2463, 1.3948, 1.5117, 522.0000, 0.0000, 0, 15, 0.6646, 9.8254, 9.1608, 3.5033, 0.3027, 0.6973, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
101.448, 4.2381, 0.0000, 3.5801, 2.8381, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 118.50, 87.98, 0.2989, -0.9543, -4.0444, 1.2666, 1.6384, 400.0000, 0.0000, 0, 13, 0.4594, 9.7313, 9.2719, 3.4154, 0.6775, 0.3225, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
102.455, 4.7874, 65.5947, 4.7624, 1.3984, 4.7874, 65.5947, 4.7624, 0.9852, 0.1715, 117.70, 88.39, 0.9852, 0.1715, 0.8211, 4.7165, 0.7395, 934.0000, 914.7085, 1, 29, 0.4797, 9.7879, 9.3082, 3.4650, 0.3212, 0.6788, 117.70, 88.39, 117.70, 88.39, 0, 0, 0, 1, ok, ok, 98.1623, 29.3045, 98.1560, 29.9296, 98.1560, 29.9296, 118.11, 88.18, 118.11, 88.18, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
103.413, 4.6614, 0.0000, 3.9982, 1.6524, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 117.70, 88.39, 0.9967, -0.0815, -0.3800, 4.6459, 1.1745, 912.0000, 0.0000, 0, 27, 0.1826, 9.9337, 9.7511, 3.4991, 0.4112, 0.5888, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
