経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
0.022, 4.2885, 84.5796, 6.0432, 1.5891, 4.2885, 84.5796, 6.0432, 0.9996, -0.0183, 120.81, 86.82, 0.9998, -0.0183, -0.0784, 4.2878, 0.7105, 703.0000, 709.3910, 1, 21, 0.6754, 9.7137, 9.0383, 3.1146, 0.4808, 0.5192, 120.81, 86.82, 120.81, 86.82, 0, 0, 1, 1, sinPhi:0.9998->0.9996, ok, 98.1491, 33.9882, 98.1491, 33.9882, 98.1491, 33.9882, 120.81, 86.82, 120.81, 86.82, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.283, 4.2885, 84.5796, 6.0432, 1.5891, 4.2885, 84.5796, 6.0432, 0.9996, -0.0183, 120.81, 86.82, 0.9998, -0.0183, -0.0784, 4.2878, 0.7105, 703.0000, 709.3910, 1, 21, 0.6754, 9.7137, 9.0383, 3.1146, 0.4808, 0.5192, 120.81, 86.82, 120.81, 86.82, 0, 0, 1, 1, sinPhi:0.9998->0.9996, ok, 98.1491, 33.9882, 98.1491, 33.9882, 98.1491, 33.9882, 120.81, 86.82, 120.81, 86.82, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.022, 4.5222, 80.2466, 5.0284, 1.4147, 4.5222, 80.2466, 5.0284, 0.9878, 0.1554, 120.01, 87.23, 0.9878, 0.1554, 0.7029, 4.4672, 0.4234, 694.0000, 747.6955, 1, 20, 0.5244, 9.6068, 9.0824, 3.2256, 0.4107, 0.5893, 120.01, 87.23, 120.01, 87.23, 0, 0, 0, 1, ok, ok, 98.1553, 32.7819, 98.1509, 33.3851, 98.1509, 33.3851, 120.41, 87.02, 120.41, 87.02, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.755, 4.6397, 81.2075, 5.1350, 1.2672, 4.6397, 81.2075, 5.1350, 0.9543, 0.2990, 120.62, 86.91, 0.9543, 0.2990, 1.3871, 4.4275, 0.4577, 782.0000, 738.8478, 1, 24, 0.4526, 9.7852, 9.3326, 3.3125, 0.4092, 0.5908, 120.62, 86.91, 120.62, 86.91, 0, 0, 0, 1, ok, ok, 98.1495, 33.7068, 98.1505, 33.5460, 98.1505, 33.5460, 120.51, 86.97, 120.51, 86.97, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.491, 4.6789, 81.8639, 4.9696, 1.5431, 4.6789, 81.8639, 4.9696, 0.9996, 0.0277, 119.46, 87.50, 0.9996, 0.0277, 0.1296, 4.6771, 0.4124, 740.0000, 732.9239, 1, 22, 0.4469, 9.7582, 9.3113, 3.3341, 0.4595, 0.5405, 119.46, 87.50, 119.46, 87.50, 0, 0, 1, 1, sinPhi:0.9996->0.9996, ok, 98.1552, 31.9645, 98.1519, 32.7552, 98.1519, 32.7552, 119.99, 87.23, 119.99, 87.23, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.217, 4.3948, 81.8596, 5.5020, 1.5745, 4.3948, 81.8596, 5.5020, 0.9996, -0.0037, 120.20, 87.13, 1.0000, -0.0037, -0.0164, 4.3947, 0.4998, 718.0000, 732.9619, 1, 21, 0.6063, 9.6052, 8.9989, 3.1475, 0.4861, 0.5139, 120.20, 87.13, 120.20, 87.13, 0, 0, 1, 1, sinPhi:1.0000->0.9996, ok, 98.1536, 33.0731, 98.1524, 32.9141, 98.1524, 32.9141, 120.10, 87.18, 120.10, 87.18, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.923, 4.5901, 82.3067, 5.6416, 1.4657, 4.5901, 82.3067, 5.6416, 0.9945, 0.1049, 119.94, 87.26, 0.9945, 0.1049, 0.4817, 4.5647, 0.5458, 722.0000, 728.9810, 1, 22, 0.4939, 9.7361, 9.2422, 3.2912, 0.4307, 0.5693, 119.94, 87.26, 119.94, 87.26, 0, 0, 0, 1, ok, ok, 98.1499, 32.6786, 98.1517, 32.7964, 98.1517, 32.7964, 120.02, 87.22, 120.02, 87.22, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.661, 4.3722, 83.8586, 6.1346, 1.5095, 4.3722, 83.8586, 6.1346, 0.9981, 0.0613, 120.60, 86.92, 0.9981, 0.0613, 0.2680, 4.3640, 0.7597, 748.0000, 715.4905, 1, 22, 0.6606, 9.8002, 9.1397, 3.1836, 0.4465, 0.5535, 120.60, 86.92, 120.60, 86.92, 0, 0, 0, 1, ok, ok, 98.1476, 33.6722, 98.1505, 33.2343, 98.1505, 33.2343, 120.31, 87.07, 120.31, 87.07, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.355, 3.7085, 82.7306, 6.7702, 1.5486, 3.7085, 82.7306, 6.7702, 0.9996, 0.0222, 122.15, 86.15, 0.9998, 0.0222, 0.0823, 3.7076, 0.8066, 691.0000, 725.2452, 1, 21, 0.9763, 9.8250, 8.8487, 2.7435, 0.4790, 0.5210, 122.15, 86.15, 122.15, 86.15, 0, 0, 1, 1, sinPhi:0.9998->0.9996, ok, 98.1490, 35.9978, 98.1500, 34.6161, 98.1500, 34.6161, 121.23, 86.61, 121.23, 86.61, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.025, 4.2527, 83.4350, 6.3728, 1.6314, 4.2527, 83.4350, 6.3728, 0.9982, -0.0606, 120.79, 86.83, 0.9982, -0.0606, -0.2577, 4.2449, 0.8851, 729.0000, 719.1226, 1, 22, 0.4981, 9.8810, 9.3829, 3.1346, 0.5103, 0.4897, 120.79, 86.83, 120.79, 86.83, 0, 0, 0, 1, ok, ok, 98.1475, 33.9628, 98.1493, 34.2894, 98.1493, 34.2894, 121.01, 86.72, 121.01, 86.72, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
